municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
311420;CARMO DO CAJURU;2018-05-24;5;2018;7º RISP - Divinópolis;3) Interior de MG;CONSUMADO;1
317200;VISCONDE DO RIO BRANCO;2018-05-25;5;2018;4º RISP - Juiz de Fora;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-05-26;5;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
313270;ITAMBACURI;2018-05-30;5;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2018-05-31;5;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
313180;ITABIRINHA;2018-05-31;5;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
317200;VISCONDE DO RIO BRANCO;2018-06-01;6;2018;4º RISP - Juiz de Fora;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-06-06;6;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
312310;DORES DE GUANHAES;2018-06-09;6;2018;8º RISP - Governador Valadares;3) Interior de MG;CONSUMADO;1
316292;SAO JOAQUIM DE BICAS;2018-06-09;6;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
317120;VESPASIANO;2018-06-09;6;2018;3º RISP - Vespasiano;2) RMBH (sem BH);CONSUMADO;1
315460;RIBEIRAO DAS NEVES;2018-06-10;6;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
311860;CONTAGEM;2018-06-11;6;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
313260;ITAMARATI DE MINAS;2018-06-12;6;2018;4º RISP - Juiz de Fora;3) Interior de MG;TENTADO;1
310630;BELO ORIENTE;2018-06-13;6;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
315350;ALTO JEQUITIBA;2018-06-13;6;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
313820;LAVRAS;2018-06-13;6;2018;6º RISP - Lavras;3) Interior de MG;CONSUMADO;1
313130;IPATINGA;2018-06-14;6;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
313130;IPATINGA;2018-06-15;6;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
316556;SEM-PEIXE;2018-06-15;6;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
315690;SACRAMENTO;2018-06-16;6;2018;5º RISP - Uberaba;3) Interior de MG;TENTADO;1
310690;BICAS;2018-06-17;6;2018;4º RISP - Juiz de Fora;3) Interior de MG;TENTADO;1
315320;PRESIDENTE JUSCELINO;2018-06-17;6;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
312420;ESPERA FELIZ;2018-06-18;6;2018;12º RISP - Ipatinga;3) Interior de MG;CONSUMADO;1
314800;PATOS DE MINAS;2018-06-21;6;2018;10º RISP - Patos de Minas;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-06-23;6;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310445;ARICANDUVA;2018-06-24;6;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
313670;JUIZ DE FORA;2018-06-25;6;2018;4º RISP - Juiz de Fora;3) Interior de MG;TENTADO;1
315210;PONTE NOVA;2018-06-25;6;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
317010;UBERABA;2018-06-27;6;2018;5º RISP - Uberaba;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-06-28;6;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;2
315790;SANTA MARGARIDA;2018-06-28;6;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
312707;FRUTA DE LEITE;2018-06-30;6;2018;11º RISP - Montes Claros;3) Interior de MG;TENTADO;1
314480;NOVA LIMA;2018-07-01;7;2018;3º RISP - Vespasiano;2) RMBH (sem BH);CONSUMADO;1
313960;MANTENA;2018-07-02;7;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
316510;SAO TOMAS DE AQUINO;2018-07-02;7;2018;18º RISP - Poços de Caldas;3) Interior de MG;TENTADO;2
310830;BORDA DA MATA;2018-07-04;7;2018;17º RISP - Pouso Alegre;3) Interior de MG;TENTADO;1
316255;SAO JOAO DO MANHUACU;2018-07-06;7;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
310400;ARAXA;2018-07-07;7;2018;5º RISP - Uberaba;3) Interior de MG;TENTADO;1
311340;CARATINGA;2018-07-08;7;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
317070;VARGINHA;2018-07-08;7;2018;6º RISP - Lavras;3) Interior de MG;CONSUMADO;1
315120;PIRAPORA;2018-07-10;7;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
317200;VISCONDE DO RIO BRANCO;2018-07-10;7;2018;4º RISP - Juiz de Fora;3) Interior de MG;CONSUMADO;1
315460;RIBEIRAO DAS NEVES;2018-07-11;7;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
313700;LADAINHA;2018-07-12;7;2018;15º RISP - Teófilo Otoni;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-07-13;7;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;2
316240;SAO JOAO DA PONTE;2018-07-13;7;2018;11º RISP - Montes Claros;3) Interior de MG;TENTADO;1
310030;ABRE-CAMPO;2018-07-14;7;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
315890;SANTANA DO MANHUACU;2018-07-14;7;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
316100;SAO DOMINGOS DO PRATA;2018-07-14;7;2018;12º RISP - Ipatinga;3) Interior de MG;CONSUMADO;1
312245;DIVISOPOLIS;2018-07-15;7;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
316800;TAIOBEIRAS;2018-07-16;7;2018;11º RISP - Montes Claros;3) Interior de MG;TENTADO;1
311710;CONCEICAO DA APARECIDA;2018-07-20;7;2018;18º RISP - Poços de Caldas;3) Interior de MG;TENTADO;1
311545;CATUJI;2018-07-20;7;2018;15º RISP - Teófilo Otoni;3) Interior de MG;CONSUMADO;1
313580;JEQUITINHONHA;2018-07-20;7;2018;15º RISP - Teófilo Otoni;3) Interior de MG;CONSUMADO;1
316940;TRES PONTAS;2018-07-20;7;2018;6º RISP - Lavras;3) Interior de MG;CONSUMADO;1
313550;JEQUERI;2018-07-21;7;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
310670;BETIM;2018-07-22;7;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
310670;BETIM;2018-07-24;7;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
310620;BELO HORIZONTE;2018-07-24;7;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;CONSUMADO;1
312510;EXTREMA;2018-07-24;7;2018;17º RISP - Pouso Alegre;3) Interior de MG;CONSUMADO;1
315730;SANTA BARBARA DO TUGURIO;2018-07-26;7;2018;13º RISP - Barbacena;3) Interior de MG;TENTADO;1
313060;INCONFIDENTES;2018-07-26;7;2018;17º RISP - Pouso Alegre;3) Interior de MG;CONSUMADO;1
312733;GAMELEIRAS;2018-07-27;7;2018;11º RISP - Montes Claros;3) Interior de MG;TENTADO;1
310170;ALMENARA;2018-07-28;7;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-07-28;7;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
313940;MANHUACU;2018-07-28;7;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
316550;SARDOA;2018-07-28;7;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
316860;TEOFILO OTONI;2018-07-29;7;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
310210;ALTO RIO DOCE;2018-07-29;7;2018;13º RISP - Barbacena;3) Interior de MG;CONSUMADO;1
311230;CAPELINHA;2018-08-01;8;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-08-03;8;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
312820;GUARACIABA;2018-08-03;8;2018;12º RISP - Ipatinga;3) Interior de MG;CONSUMADO;1
